danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,popularity
0.477,0.712,7,-6.759,1,0.0653,0.224,8.36e-06,0.118,0.407,109.965,audio_features,6Od2OWvoT4embWAgIGeFRd,spotify:track:6Od2OWvoT4embWAgIGeFRd,https://api.spotify.com/v1/tracks/6Od2OWvoT4embWAgIGeFRd,https://api.spotify.com/v1/audio-analysis/6Od2OWvoT4embWAgIGeFRd,224400,4,59
0.555,0.419,0,-12.701,1,0.0457,0.31,0.00115,0.237,0.317,159.746,audio_features,3sPpEYjRGQYV0XOjy4pYqh,spotify:track:3sPpEYjRGQYV0XOjy4pYqh,https://api.spotify.com/v1/tracks/3sPpEYjRGQYV0XOjy4pYqh,https://api.spotify.com/v1/audio-analysis/3sPpEYjRGQYV0XOjy4pYqh,246453,4,59
0.648,0.352,4,-10.11,1,0.0278,0.692,0.262,0.106,0.173,121.461,audio_features,6VfY0sgS4j4JpFQH8kk4XA,spotify:track:6VfY0sgS4j4JpFQH8kk4XA,https://api.spotify.com/v1/tracks/6VfY0sgS4j4JpFQH8kk4XA,https://api.spotify.com/v1/audio-analysis/6VfY0sgS4j4JpFQH8kk4XA,329893,4,59
0.396,0.198,2,-9.096,1,0.031,0.912,0.0,0.0972,0.19,138.624,audio_features,5ZUObJNpVt2l9GogUSfALc,spotify:track:5ZUObJNpVt2l9GogUSfALc,https://api.spotify.com/v1/tracks/5ZUObJNpVt2l9GogUSfALc,https://api.spotify.com/v1/audio-analysis/5ZUObJNpVt2l9GogUSfALc,235587,3,59
0.353,0.239,0,-16.256,1,0.036,0.929,0.589,0.0681,0.299,106.79,audio_features,7EWwiyBXMaLzoSXwWZkYyU,spotify:track:7EWwiyBXMaLzoSXwWZkYyU,https://api.spotify.com/v1/tracks/7EWwiyBXMaLzoSXwWZkYyU,https://api.spotify.com/v1/audio-analysis/7EWwiyBXMaLzoSXwWZkYyU,231000,3,59
0.316,0.413,11,-12.216,1,0.0334,0.856,0.00245,0.143,0.245,155.69,audio_features,3KAQ4xe2sR6IiltZw8HSA5,spotify:track:3KAQ4xe2sR6IiltZw8HSA5,https://api.spotify.com/v1/tracks/3KAQ4xe2sR6IiltZw8HSA5,https://api.spotify.com/v1/audio-analysis/3KAQ4xe2sR6IiltZw8HSA5,256680,4,58
0.36,0.0932,10,-19.422,1,0.0345,0.931,0.000747,0.0855,0.328,175.108,audio_features,6i6hIiqSXwfzU4B2Tbtw4S,spotify:track:6i6hIiqSXwfzU4B2Tbtw4S,https://api.spotify.com/v1/tracks/6i6hIiqSXwfzU4B2Tbtw4S,https://api.spotify.com/v1/audio-analysis/6i6hIiqSXwfzU4B2Tbtw4S,223587,3,58
0.602,0.234,11,-9.419,1,0.0334,0.635,2.54e-06,0.0987,0.307,124.964,audio_features,1zeQjPT367QcGrkpIXYjuW,spotify:track:1zeQjPT367QcGrkpIXYjuW,https://api.spotify.com/v1/tracks/1zeQjPT367QcGrkpIXYjuW,https://api.spotify.com/v1/audio-analysis/1zeQjPT367QcGrkpIXYjuW,219533,4,58
0.48,0.418,11,-9.622,0,0.0312,0.505,0.00416,0.11,0.319,132.404,audio_features,5fQa04cwDF11Giq5N2tGdU,spotify:track:5fQa04cwDF11Giq5N2tGdU,https://api.spotify.com/v1/tracks/5fQa04cwDF11Giq5N2tGdU,https://api.spotify.com/v1/audio-analysis/5fQa04cwDF11Giq5N2tGdU,294000,4,58
0.662,0.384,6,-12.634,1,0.0281,0.775,0.0565,0.117,0.261,128.992,audio_features,23Zlb66N7xcIWbpt2C1bsi,spotify:track:23Zlb66N7xcIWbpt2C1bsi,https://api.spotify.com/v1/tracks/23Zlb66N7xcIWbpt2C1bsi,https://api.spotify.com/v1/audio-analysis/23Zlb66N7xcIWbpt2C1bsi,199360,4,58
